sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1747509469.9736807,2941.8867238,26102.63671875,-302736.875,11249.9912109375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.9748056,2941.8867975,15855.61328125,-302716.5,5860.09130859375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.9750853,2941.8868053,-860.1845703125,-302663.8125,1460.99951171875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.9752686,2941.886809,1666.8143310546875,-302603.90625,4035.294677734375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.9758453,2941.8868127,19458.0,-302635.125,10025.47265625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.977707,2941.8907489,26100.490234375,-302746.0,11269.6611328125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.977914,2941.8907849,15912.744140625,-302729.0,5896.5693359375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.97814,2941.8908225,-830.054443359375,-302673.21875,1472.890625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.981902,2941.8948825,1618.71337890625,-302610.625,4004.628173828125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509469.982251,2941.8948887,19404.98046875,-302638.0,9986.044921875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0122688,2941.9252307,26106.48046875,-302749.125,11263.4912109375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.012483,2941.9252508,15992.0478515625,-302731.25,5906.67236328125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.012584,2941.9252545,-797.5996704101562,-302677.40625,1460.0159912109375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0128171,2941.925258,1528.501708984375,-302618.59375,3980.041259765625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0130298,2941.9252613,19321.20703125,-302645.40625,9976.5673828125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0161638,2941.9292543,26100.04296875,-302757.6875,11279.9423828125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.016477,2941.9292589,16030.4931640625,-302741.0625,5935.103515625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0168455,2941.9292626,-771.4034423828125,-302685.5625,1474.231689453125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0201075,2941.9332193,1490.0567626953125,-302625.375,3970.474609375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0501742,2941.9632455,19269.619140625,-302649.6875,9966.9111328125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0503418,2941.963262,26112.470703125,-302761.375,11301.2216796875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.05065,2941.9633038,16115.51953125,-302746.71875,5972.20751953125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0507765,2941.9633285,-731.8855590820312,-302691.4375,1483.7088623046875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0509846,2941.9633689,1414.060791015625,-302634.6875,3954.739013671875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0547159,2941.9673273,19194.0703125,-302658.625,9960.02734375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.054853,2941.9673445,26114.259765625,-302768.34375,11331.4404296875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0549417,2941.9673589,16178.55078125,-302754.125,6016.28515625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0581112,2941.971623,-630.4086303710938,-302696.09375,1506.5970458984375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0584278,2941.9716287,1555.0556640625,-302635.75,3911.19775390625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.088335,2942.0012804,19301.71484375,-302659.4375,9900.125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0886474,2942.0013069,26204.0234375,-302772.90625,11300.953125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.088901,2942.0013216,16429.158203125,-302762.15625,6003.05322265625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.089178,2942.0013455,-482.7082824707031,-302708.15625,1466.8109130859375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.089326,2942.0013686,1376.3310546875,-302651.03125,3881.961669921875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0894854,2942.0013847,19109.3125,-302671.15625,9896.6376953125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0941563,2942.0072866,26152.705078125,-302780.5,11334.6591796875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0943122,2942.0072941,16392.14453125,-302768.875,6051.51171875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.0944293,2942.0072973,-536.3524780273438,-302711.03125,1489.78857421875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.094761,2942.0073006,1280.7550048828125,-302657.46875,3860.951171875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1284318,2942.0404398,19022.408203125,-302674.5625,9873.1240234375,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1286128,2942.0404624,26145.552734375,-302784.6875,11340.7392578125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1286948,2942.040481,16432.82421875,-302777.625,6071.35986328125,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1287713,2942.0404952,-547.1707153320312,-302720.40625,1485.3182373046875,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
1747509470.1291533,2942.040499,1139.5814208984375,-302668.28125,3834.486572265625,-750000.125,-750000.125,-750000.125,-750000.125,-750000.125
